Name,Country,Episodes,Score,Number_of_rates,Description,Genres,Tag,Director,Screenwriter
EXO's Ladder: Season 2,South Korea ,50,9.1,"1,256","Exo's newest Reality show, where they travel to different countries. Using a 'ladder' to help decide their situations. 
This season will consist of all of the members in Taiwan. ","Adventure,  Music,  Comedy ",EXO K-Pop Travel Show Outdoor Variety Show Reality Show Friendship,,
Weak Hero Class 1,South Korea ,8,9.1,"15,749","Yeon Shi Eun is a model student who ranks at the top of his high school. Physically, Yeon Shi Eun appears weak, but by using his wits and psychology, he fights against the violence that takes place inside and outside of his school. 

(Source: Asianwiki)

~~ Adapted from the webtoon “Weak Hero” (약한영웅) written by SeoPass (서패스) and illustrated by Kim Jin Seok  (김진석). 
~~ Release dates: Oct 7, 2022 (Festival) || Nov 18, 2022 (Online)","Action,  Youth,  Drama ",Smart Male Lead Bromance School Bullying Violence Friendship High School Skilled Fighter Adapted From A Webtoon School Setting Fight,er & Director: You Su Min ,
Hospital Playlist Season 2,South Korea ,12,9.1,"21,500","Everyday is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.

(Source: Netflix) ","Romance,  Life,  Drama,  Medical ",Multiple Mains Band Music Strong Female Lead Multiple Couples Comedy Smart Female Lead Bromance Cardiovascular Disease Workplace Setting,Shin Won Ho ,Lee Woo Jung 
Break The Silence: Docu-Series,South Korea ,7,9.1,806,"Follow the 351-day journey of BTS from 'LOVE YOURSELF TOUR' to 'SPEAK YOURSELF TOUR' in the all-new docu-series. 

(Source: Weverse Official Twitter) ","Music,  Life,  Youth,  Documentary ",BTS Reality Show K-Pop Friendship,Park Joon Soo ,
Burn The Stage: The Movie,South Korea ,,9.1,"5,535","A journey of 40 concerts across 19 cities with more than 550,000 roaring audience members, making history that gave wings to seven boys— Burn the Stage: the Movie is the first BTS feature film that delivers the most intimate look to date of the 2017 BTS LIVE TRILOGY EPISODE III THE WINGS TOUR. ","Music,  Life,  Documentary ",K-Pop Concert BTS Stray Kids Friendship,Park Joon Soo ,
Flower of Evil,South Korea ,16,9.1,"44,657","Although Baek Hee Sung is hiding a dark secret surrounding his true identity, he has established a happy family life and a successful career. He is a loving husband and doting father to his young daughter. But his perfect façade begins to crumble when his wife, Cha Ji Won, a homicide detective, begins investigating a string of serial murders from 15 years ago. Ji Won notices changes in Hee Sung’s behavior and begins to wonder if he could possibly be hiding something from her. 

(Source: MyDramaList)","Thriller,  Romance,  Crime,  Melodrama ",Deception Family Secret Mystery Suspense Smart Female Lead Hidden Personality Antisocial Personality Disorder Investigation Murder Hidden Identity,"Kim Chul Gyu,  Yoon Jong Ho ",Yoo Jung Hee 
Hospital Playlist,South Korea ,12,9.1,"37,192","The stories of people going through their days are seemingly ordinary but actually special at the hospital, a place known as the microcosm of life, where someone is being born and someone's life meets its ending. The five doctors are long-time friends of 20 years who started their undergrad in 1999 in the same medical school and now are colleagues in the same hospital and have a band together.

(Source: Korean = Naver || Translation = YeoNiverse at MyDramaList)","Romance,  Life,  Drama,  Medical ",Nice Male Lead Multiple Mains Slow Romance Multiple Couples Strong Female Lead Slight Romance Nice Female Lead Bromance Heartfelt Healing,Shin Won Ho ,Lee Woo Jung 
EXO Arcade Season 1,South Korea ,5,9.1,"1,171","EXO's New Variety Show is coming with Lee Soo Geun as MC. On this show we'll see Exo's members playing games, dancing, answers questions and have fun! ",Comedy ,Roommates' Relationship EXO K-Pop Variety Show Reality Show Game Show Friendship,,
Alchemy of Souls,South Korea ,20,9.1,"29,688","Set in a fictional country called Daeho that does not exist in history or on maps, it is about the love and growth of young mages as they overcome their twisted fates due to a forbidden magic spell known as the ""alchemy of souls"", which allows souls to switch bodies.

It follows the story of an elite assassin named Naksu, whose soul is accidentally trapped inside the weak body of Mu Deok—Jang Uk's servant from a powerful and noble mage family in the country. The young master of the Jang Family, Jang Uk, holds a dark secret about his scandalous birth. He wants the formidable assassin to help change his destiny.

(Source: Soompi; The Korea Herald)","Action,  Historical,  Romance,  Fantasy ",Transmigration Strong Female Lead Master-Disciple Relationship Kind Male Lead Multiple Mains Supernatural Magical Power Hidden Identity Body Swap Skilled Fighter,Park Joon Hwa ,"Hong Jung Eun,  Hong Mi Ran "
The Untamed Special Edition,China ,20,9.1,"4,895",A 20-episode cut of The Untamed made for better integration and comprehension of the series. This special edition focuses more on Lan Wangji/Lan Zhan and Wei Wuxian/Wei Ying. ,"Mystery,  Wuxia,  Fantasy ",Bromance Censored Adaptation Of Same-sex Original Work Xianxia Smart Male Lead Adapted From A Novel Death Calm Male Lead Tragic Past Hidden Identity Cold Male Lead,"Steve Cheng,  Chan Ka Lam ","Deng Yao Yu,  Yang Xia,  Guo Guang Yun,  Jing Ma "
Reply 1988,South Korea ,20,9.1,"37,823","Five childhood friends, who all live in the same Ssangmundong neighborhood of Seoul, lean on each other to survive their challenging teen years and set a path for their futures. Sung Deok Sun struggles for attention as the middle child in her poor family while also carrying the burden of her 999th ranking in school. Kim Jung Hwan only has a one-track mind for soccer, even after his family becomes rich overnight. Sung Sun Woo is the perfect student, student council president and a caring and dependable son in his family. Ryu Dong Ryong is a geek who knows more about girls and life than the rest of his friends, but his poor academic score prevents him from being able to go to college. Choi Taek is a genius baduk player who dropped out of school to go professional. As the group of friends gets into and out of mischief around the neighborhood, what experiences from these memorable times together will they carry with them into their future lives? 

(Source: Viki)","Comedy,  Romance,  Life,  Youth ",Nostalgia Multiple Couples Poor Family Love Triangle Heartfelt High School Friendship Mother-Son Relationship Coming Of Age Bromance,"Shin Won Ho,  Yoo Hak Chan ",Lee Woo Jung 
Reset,China ,15,9.1,"10,464","When Li Shi Qing awoke that fateful morning, she had no idea her life was about to change forever. Going about her day as usual, Shi Qing boarded the bus without ever giving her actions a second thought. But when the bus she was on was involved in a horrendous accident, Shi Qing had only seconds to realize that her life was about to end. Or was it?

Waking up that very same morning, going through the exact same motions, boarding the same bus, and dying in the same accident, over and over again, Shi Qing soon realizes that she has become trapped in a never-ending time loop. Desperate to find a way to escape not only the loop but her tragic fate, Shi Qing inadvertently drags fellow bus passenger, Xiao He Yun, into the loop with her. Together they try to find a way to alter their fate, by ensuring the bus arrives safely at its destination but attempting to do so proves anything but easy.

(Source: Viki)

~~ Adapted from the novel ""Kai Duan"" (开端) by Qi Dao Jun (祈祷君).","Thriller,  Mystery,  Sci-Fi ",Time Loop Investigation Explosion Suspense Slight Romance Healthy Mains’ Relationship Strangers To Lovers Student Death Time Travel,"Sun Mo Long,  Liu Hong Yuan ", Director: Lao Suan 
Going Seventeen 2019,South Korea ,28,9.1,935,The show on official  SEVENTEEN YT channel which takes us behind the scene of  SEVENTEEN's member. ,Comedy ,SEVENTEEN K-Pop Variety Show Talk Show Friendship,,
Bring The Soul: Docu-Series,South Korea ,6,9.1,810,"‘LOVE YOURSELF.’ One message that touched the hearts of ‘ARMY’ across the world. Behind the free and spirited presence on the stage, are the members doing their best to love themselves, personifying the message delivered throughout the tour.
But the sense of responsibility, along with the worries and anxiety, is mounting more weight on the shoulders of the members.

The docu-series captures BTS members telling the stories untold in ‘BRING THE SOUL: THE MOVIE’ and finally revealing their genuine stories.

(Source: BringthesoulDeocuseries]",Documentary ,K-Pop BTS Reality Show,Park Joon Soo ,
My Mister,South Korea ,16,9.0,"23,116","Park Dong Hoon is a middle-aged engineer who is married to attorney Kang Yoon Hee. However, his life is not that happy as he has two unemployed brothers, Sang Hoon and Gi Hoon, who rely on him. Moreover, his wife is secretly having an affair with CEO Do Joon Yeong, his current boss and college junior.

Receiving an unexpected bribe one day, Dong Hoon notices that his co-worker Lee Ji An witnessed the incident. Ji An is a young part-time worker at Dong Hoon's company who is drowning in debt and left alone to take care of her ill grandmother. Dong Hoon then gets entangled in his brothers' struggle to get back on their feet and the company's internal rivalry between the company's CEO and the people opposing him. All the while, unaware that CEO Joon Yeong wants to get rid of him and that Ji An is working for him.

(Source: MyDramaList)","Psychological,  Life,  Drama ",Nice Male Lead Depression Healing Poor Female Lead Strong Female Lead Infidelity Lying Power Struggle Deception Grandma-Granddaughter Relationship,"Kim Won Suk,  Kim Sang Woo ",Park Hae Young 
Hope,South Korea ,,9.0,"7,699","On the way to school, a girl named So Won (which literally means ""desire"" or ""hope"" in Korean) is sexually assaulted by a drunk male stranger. As a result, she suffers from multiple internal injuries and must undergo major surgery, but her emotional wounds are equally difficult to heal. Their happy family fell apart, her parents Dong Hoon and Mi Hee have feelings of pain and anger. Since that day's trauma, So Won refuses to see or speak to her father, so Dong Hoon hides under the costume of his daughter's favorite cartoon character and becomes a ""guardian angel"" by her side.

~~ Inspired by the real events of the ""Cho Doo Soon"" case that happened in December 2008.","Psychological,  Life,  Drama ",Rape Based On True Story Sexual Assault Crime Against Children Family Relationship Child Abuse Pedophilia Sexual Abuse Tearjerker Father-Daughter Relationship,Lee Joon Ik ,"Kim Ji Hye,  Jo Joong Hoon "
The Untamed,China ,50,9.0,"40,005","Wei Wu Xian and Lan Wang Ji, two talented disciples of respected clans, meet during cultivation training and accidentally discover a secret carefully hidden for many years. Taking on the legacy of their ancestors, they decide to rid the world of the ominous threat. But in a dramatic turn of events, Wei Wu Xian dies.

Sixteen years later, Wei Wu Xian is brought back to life through a self-sacrificing ritual. He conceals himself behind a mask and assumes the identity of his summoner. Soon, Wei Wu Xian reunites with Lan Wang Ji and they start working together to solve the mysteries of the present and unravel the truth behind the events in the past.

(Source: MyDramaList)

~~ Adapted from the novel ""Grandmaster of Demonic Cultivation"" (魔道祖师) by Mo Xiang Tong Xiu (墨香铜臭).","Mystery,  Wuxia,  Fantasy ",Adapted From A Novel Playful Male Lead Censored Adaptation Of Same-sex Original Work Strong Male Lead Tragic Past Soulmates Xianxia Smart Male Lead Flashback To Past Male Centered Plot,"Steve Cheng,  Chan Ka Lam ","Deng Yao Yu,  Yang Xia,  Guo Guang Yun,  Jing Ma "
Joy of Life,China ,46,9.0,"7,264","Fan Xian is born in the ancient empire of Southern Qing with memories of the 21st century. He lives in a rural town as the illegitimate son of the Minister of Finance, raised by his grandmother. His mother, Ye Qing Mei, was once a celebrated inventor and the founder of the Overwatch Department, the country's spy network but was killed shortly after her son was born. Fan Xian has since been protected by a blind martial arts expert, Wu Zhu, his mother's bodyguard. He learned martial arts and the art of poison as a child, also assisted by his knowledge from the 21st century. 

After an assassination attempt, he decides to venture into the capital to find out more about his mysterious mother and why anyone would want to kill him, as he perceives himself to be an unimportant person. He also wants to know why he has memories of a sharply different era. In the capital, he accidentally meets Lin Wan Er, the sickly illegitimate daughter of Princess Royal, and falls in love with her. Unbeknownst to him, she is the woman the emperor chose for him to marry so that he would be the new overseer of the Royal Treasury, an institute Fan Xian's mother established in the palace and currently handled by Princess Royal. 

In the capital, however, he gets entangled in the intrigues of the Emperor and the two Princes, as well as the Overwatch Department, leading to him questioning his whole identity and inducing him to find his true life goals, abandoning his original intention to just ""enjoy life"".

(Source: Wikipedia)

~~ Adapted from the web novel “Qing Yu Nian” (庆余年) by Mao Ni (猫腻).","Mystery,  Romance,  Wuxia,  Fantasy ",Martial Arts Strong Male Lead Time Travel Sword-fight Power Struggle Scheme Sci-Fi Comedy Royalty Murder,Sun Hao ,Wang Juan 
Young Actors' Retreat,South Korea ,8,9.0,"3,554","“Youth MT” is a new TVING variety show featuring the reunion of actors from “Love in the Moonlight,” “Itaewon Class,” and “The Sound of Magic.” The casts of producing director (PD) Kim Sung Yoon’s three dramas will reunite to go on a refreshing retreat. “MT” stands for “membership training” and refers to going on a retreat in which people hang out, play games, and take time to bond with one another.

(Source: Soompi) ",Comedy ,Variety Show Outdoor Variety Show Reality Show Friendship,Kim Seong Yoon ,
EXO Arcade Season 2,South Korea ,6,9.0,715,"EXO's New Season for the Variety Show is here, with Jang Sung Kyu as MC. 
6 active EXO members will play games, dance, answer questions, wreak havoc, and have fun. ",Comedy ,EXO K-Pop Variety Show Reality Show Game Show Friendship,,
Under the Queen's Umbrella,South Korea ,16,9.0,"8,082","Within the palace exist troublemaking princes who cause nothing but headaches for the royal family and are about to be turned into proper crown princes. Their mother, Im Hwa Ryeong,  is the wife of a great king. But instead of having an aura of elegance and grace, she is a prickly, sensitive, and hot-tempered queen. Once more serene, she changed since people kept pushing her buttons.  She is a queen who sometimes abandons her pride and is even known to swear!  Every day of her life is full of trials, but she withstands them all, for the sake of her children.

(Source: Soompi)","Historical,  Comedy,  Drama,  Political ",Motherhood Mother-Son Relationship Palace Setting Black Comedy Queen Female Lead Joseon Dynasty Royal Family Royalty Historical Fiction Prince Supporting Character,Kim Hyung Shik ,Park Ba Ra 
SKZ CODE,South Korea ,30,9.0,803,"In this season of Stray Kids’ reality show, each member represents a family member who has to fight to occupy the throne. They play various games on a snowfield to select the king. SKZ CODE pays homage to the American fantasy drama “Game of Thrones”.

(Source: MyDramaList) ","Music,  Comedy ",Stray Kids K-Pop Reality Show Variety Show Friendship,,
New Journey to the West Season 4,South Korea ,11,9.0,"1,489","After taking trips to China in the first three seasons, Korean celebrities venture into Vietnam in “New Journey to The West: Season 4”! The fourth season features cast members Kang Ho Dong, Eun Ji Won, Lee Soo Geun, Ahn Jae Hyun, Kyuhyun and Mino. The cast members take on the characters of the classic Chinese novel ""Journey to the West"" as they embark on a five-day, four-night trip to various locations in Vietnam and participate in fun games. Don’t miss a minute of this fun online variety show!

(Source: Viki)","Adventure,  Comedy ",Variety Show Travel Show Game Show Super Junior WINNER Sechs Kies Competition Outdoor Variety Show Reality Show,Na Young Seok ,
1 Litre no Namida,Japan ,11,9.0,"17,845","15-year-old Ikeuchi Aya is an ordinary girl, the daughter of a family who works at a tofu shop, and a soon-to-be high schooler. However, odd things have been happening to Aya lately. She has been falling down often and walks strange. Her mother, Shioka, takes Aya to see the doctor, and he informs Shioka that Aya has spinocerebellar degeneration - a terrible disease where the cerebellum of the brain gradually deteriorates to the point where the victim cannot walk, speak, write, or eat.

(Source: DramaWiki)

~~Adapted from a diary of Kito Aya (木藤 亜也)  ""1 Litre no Namida"" (1 リットルの涙)  , who suffered from degenerative disease and died at the age of 15.","Romance,  Drama,  Melodrama ",Based On True Story Terminal Illness Tearjerker Sick Female Lead High School Adapted From A Novel Spinocerebellar Ataxia (SCA) Death Ill Female Lead School Setting,"Murakami Shosuke,  Kinoshita Takao ","Yokota Rie,  Egashira Michiru,  Oshima Satomi "
Seventeen in the Soop,South Korea ,8,9.0,697,"“In the SOOP” (“soop” means “forest” in Korean) takes place in a house in the woods, and the concept is to spend time “somewhere between everyday life and leisure"". Participants will create their own schedules in advance and spend time enjoying their hobbies.

(Source: Soompi) ","Adventure,  Comedy ",Camping Trip SEVENTEEN Road Trip K-Pop Variety Show Travel Show Friendship,,
NCT WORLD 2.0,South Korea ,8,9.0,"1,219","Mnet’s “NCT WORLD 2.0” is the first reality show starring all 23 members, including new additions Shotaro and Sungchan.
The show will be based on the concept of a multiverse, featuring multiple dimensions.

(Source: Soompi) ","Comedy,  Youth ",NCT Variety Show Game Show WayV NCT 127 NCT U NCT DREAM K-Pop Friendship,,
Love Like the Galaxy: Part 2,China ,29,9.0,"9,467","After a series of twists and turns, Cheng Shao Shang and Ling Bu Yi are engaged to be married by Imperial consent and decree. However, they still have many hurdles to overcome. Cheng Shao Shang, having been neglected and abandoned from a young age, has to learn to be a proper lady worthy of someone with Ling Bu Yi's status and is put under the tutelage of the Empress. Also, as someone who has her own mind and who prizes her personal freedom, being tied to Ling Bu Yi presents its own set of challenges.

Ling Bu Yi, too, has personal challenges of his own. His mission to uncover the culprits behind the massacre of his entire clan and to exact vengeance is far from over, and he, himself, harbours some deep secrets of his own. Can he and Cheng Shao Shang overcome these trials and forge a union that shines even in the brightest of galaxies?

(Source: MyDramaList)

~~ Adapted from the novel ""Xing Han Can Lan, Xing Shen Zhi Zai"" (星汉灿烂, 幸甚至哉) by Guan Xin Ze Luan (关心则乱).","Historical,  Mystery,  Romance,  Political ",Slow Burn Romance Revenge Adapted From A Novel Strong Male Lead General Male Lead Tragic Past Character Development Palace Setting Family Relationship Death,Fei Zhen Xiang ,"Zou Yue,  An Yi Mo "
Semantic Error: The Movie,South Korea ,,9.0,"1,904","Chu Sang Woo is a perennial loner. He is a junior computer science major and his Myers-Briggs Type Indicator (MBTI) type is ISTJ – the Logistician. This means he is principled, calculating, and always punctual. He detests injustice and prizes what is right. But during one of his university classes, he must work on a liberal arts project in a group. The rest of the group, however, has no interest in this dull project. Instead, they let Chu Sang Woo do the work on his own. He does this. But when he makes the presentation, he does so in his name only – remove the names of his slacker group mates.

This seemingly simple action causes major problems for one of those group members – a senior student by the name of Jang Jae Young. He is hoping to study abroad, and losing the liberal arts course credits could scupper his plans. He decides to take revenge on Chu Sang Woo, and discovers that he is his junior’s polar opposite. Jang Jae Young is stylish, popular, and easygoing. His MBTI type is ENFP – the Campaigner. Instead of warring, though, the duo is forced to work together. And as they do, an unexpected attraction begins to develop between them!

(Source: Viki)

~~ Adapted from the web novel ""Semantic Error"" (시맨틱 에러) by Jeo Soo Ri (저수리).","Comedy,  Romance,  Youth ",LGBTQ+ Bisexual Male Lead Student Male Lead Adapted From A Web Novel Bisexual Supporting Character Gay Romance Serious Male Lead University Campus Setting Cold Male Lead,Kim Soo Jung ,Jason 
Someday or One Day,Taiwan ,13,9.0,"7,269","The year is 2019. The 27 year-old Huang Yu Xuan terribly misses her boyfriend Wang Quan Sheng, who has been missing for two years and is presumed dead. Her birthday wish for this year is to ""see him."" 
The year is 1998. The 17 year-old Chen Yun Ru is in love with a boy who doesn't feel the same way for her. Her birthday wish for this year is to ""become the girl Li Zi Wei likes.""
One day, Huang Yu Xuan receives a walkman and a music cassette from an unknown person. She falls asleep listening to its songs and wakes up to see Wang Quan Sheng sitting by her side. She believes she has finally been reunited with her boyfriend, but there's a very big twist. She learns that she is no longer a 27-year-old woman but a high schooler named Chen Yun Ru, who is in the hospital recuperating from a head injury.  And the man by her bedside is not her boyfriend after all, but a schoolmate named Li Zi Wei.
Trapped in what appears to be the past, living another person's life, Chen Yun Ru's death in 1999 will be Huang Yu Xuan’s death if she doesn't figure out how the girl landed in the hospital. 
All the while, Li Zi Wei finds himself strangely drawn to the girl who used to be Chen Yun Ru, despite the fact that he knows his closest friend Mo Jun Jie has had a crush on her... Can true love find a way to bridge a seemingly insurmountable time gap?","Thriller,  Romance,  Sci-Fi ",Transmigration Change Of Fate Different Timelines First Love Time Travel Doppelganger 1990s Butterfly Effect Death Second Chance,Tien Jen Huang ,"Hsin Hui Lin,  Chi Feng Chien "
Prison Playbook,South Korea ,16,9.0,"24,601","Kim Je Hyuk, a famous baseball player, is arrested after using excessive force while chasing a man trying to sexually assault his sister. Shockingly to him and the rest of the nation, he is sentenced to a year in prison. There, he meets his childhood friend and fellow baseball player, Lee Joon Ho, who gave up on baseball after a car accident, but now is a prison guard and one of Je Hyuk's biggest fans. The drama revolves around Je Hyuk's time in prison, as well as the prisoners he meets and events that take place there.

(Source: MyDramaList)","Comedy,  Crime,  Life,  Drama ",Life Lesson Bromance Wrongfully Accused Strong Male Lead Slight Romance Character Development Murder Prison Setting Black Comedy Baseball,Shin Won Ho ,"Jung Bo Hoon,  Lee Woo Jung "
KinnPorsche Side Story,Thailand ,1,9.0,"4,199",A side story for KinnPorsche The Series that happens just after episode 6. ,"Action,  Romance,  Crime,  Drama ",Hospital Setting Playful Male Lead Slight Comedy Fluffy LGBTQ+ Gay Male Lead Gay Romance,,
Alchemy of Souls Season 2: Light and Shadow,South Korea ,10,9.0,"19,156","Jang Uk returns from death, and three years later, the story of the mages unfolds anew. Jang Uk becomes a hunter of the soul-shifters when a young woman, a prisoner in her own home, seeks his help to reclaim her freedom.

(Source: Netflix) ","Action,  Historical,  Romance,  Fantasy ",Magical Power Strong Male Lead Birth Secret Marriage Of Convenience Smart Male Lead Nice Male Lead Transmigration Fantasy World Supernatural Antihero Male Lead,"Park Joon Hwa,  Bae Hyun Jin ","Hong Jung Eun,  Hong Mi Ran "
Mr. Queen,South Korea ,20,9.0,"33,698","Jang Bong Hwan is a South Korean chef who has risen up the ranks to cook for the country’s top politicians in the Blue House’s presidential residences. After a serious accident, he finds himself in the body of the young queen, Kim So Yong, when whisked away to an era deep in Korea’s past.

While Queen Kim So Yong’s husband is the reigning monarch, King Cheol Jong, he is so in name only. The late King Sunjo’s Queen, Sun Won, has taken advantage of King Cheol Jong’s better nature, and is ruling the realm in his name. And she faces competition from her own brother, Kim Jwa Guen, who also has designs on power. 

Queen Kim So Yong will come to  discover that her husband harbours some secrets, and is not as gentle and meek as he seems…

(Source: Viki, MyDramaList)

~~ Adapted from the novel ""The Promotion Record of a Crown Princess"" (太子妃升职记) by Xian Cheng (鲜橙).","Historical,  Comedy,  Romance,  Fantasy ",Transmigration Sassy Female Lead Joseon Dynasty Smart Male Lead Calm Male Lead Time Travel Eccentric Female Lead Gender Swap Identity Crisis Power Struggle,Yoon Sung Shik ,"Park Kye Ok,  Choi Ah Il "
Mother,South Korea ,16,9.0,"8,244","Realizing one of her students is being abused, school teacher and bird researcher Soo Jin impulsively kidnaps the girl and acts as a substitute mother in an attempt to take care of her.

(Source: MyDramaList) ","Thriller,  Mystery,  Psychological,  Melodrama ",Mother-Daughter Relationship Independent Female Lead Smart Female Lead Child Abuse Adoption Strong Female Lead Suspense Orphan Female Lead Motherhood Investigation,"Kim Chul Gyu,  Yoon Hyun Gi ",Jung Seo Kyung 
Extraordinary Attorney Woo,South Korea ,16,9.0,"41,951","Diagnosed with autism spectrum disorder, 27-year-old Woo Young Woo graduated at the top of her class from the prestigious Seoul National University for both college and law school due to her high IQ of 164, impressive memory, and creative thought process. Working as a lawyer, she finds herself struggling when it comes to social interactions.

(Source: Soompi; Edited by MyDramaList) ","Law,  Romance,  Life,  Drama ",Autistic Female Lead Autism Attorney Female Lead Smart Female Lead Law Firm Workplace Setting Nice Male Lead Father-Daughter Relationship Courtroom Setting Single Mother/Father Supporting Character,Yoo In Shik ,Moon Ji Won 
